자치구별,각세별,성별,항목,단위,2018 년,2019 년,2020 년,2021 년,2022 년,2023 년,2024 년
합계,합계,합계,주민등록인구(내국인 각세별/구별),,9765623,9729107,9668465,9509458,9428372,9386034,9331828
합계,합계,남자,주민등록인구(내국인 각세별/구별),,4773899,4744059,4701723,4618040,4570048,4540031,4505355
합계,합계,여자,주민등록인구(내국인 각세별/구별),,4991724,4985048,4966742,4891418,4858324,4846003,4826473
합계,0세,합계,주민등록인구(내국인 각세별/구별),,54719,51145,45165,43410,40742,37771,39588
합계,0세,남자,주민등록인구(내국인 각세별/구별),,28449,26523,23203,22335,20889,19383,20193
합계,0세,여자,주민등록인구(내국인 각세별/구별),,26270,24622,21962,21075,19853,18388,19395
합계,1세,합계,주민등록인구(내국인 각세별/구별),,60805,54779,50482,44904,43950,41087,37696
합계,1세,남자,주민등록인구(내국인 각세별/구별),,31116,28466,26274,23084,22598,20986,19323
합계,1세,여자,주민등록인구(내국인 각세별/구별),,29689,26313,24208,21820,21352,20101,18373
합계,2세,합계,주민등록인구(내국인 각세별/구별),,67262,59128,53099,48900,44177,43013,40295
합계,2세,남자,주민등록인구(내국인 각세별/구별),,34464,30328,27559,25455,22682,22119,20593
합계,2세,여자,주민등록인구(내국인 각세별/구별),,32798,28800,25540,23445,21495,20894,19702
합계,3세,합계,주민등록인구(내국인 각세별/구별),,71433,65734,57331,51445,48120,43637,42163
합계,3세,남자,주민등록인구(내국인 각세별/구별),,36535,33582,29277,26695,25100,22377,21640
합계,3세,여자,주민등록인구(내국인 각세별/구별),,34898,32152,28054,24750,23020,21260,20523
합계,4세,합계,주민등록인구(내국인 각세별/구별),,70251,70013,64404,55879,50630,47506,43155
합계,4세,남자,주민등록인구(내국인 각세별/구별),,35911,35843,32900,28490,26256,24750,22167
합계,4세,여자,주민등록인구(내국인 각세별/구별),,34340,34170,31504,27389,24374,22756,20988
합계,5세,합계,주민등록인구(내국인 각세별/구별),,69728,69139,68808,62987,55088,50291,47146
합계,5세,남자,주민등록인구(내국인 각세별/구별),,35810,35417,35264,32189,28126,26053,24593
합계,5세,여자,주민등록인구(내국인 각세별/구별),,33918,33722,33544,30798,26962,24238,22553
합계,6세,합계,주민등록인구(내국인 각세별/구별),,76957,69031,68085,67581,62376,55100,50295
합계,6세,남자,주민등록인구(내국인 각세별/구별),,39413,35449,34807,34536,31875,28105,25985
합계,6세,여자,주민등록인구(내국인 각세별/구별),,37544,33582,33278,33045,30501,26995,24310
합계,7세,합계,주민등록인구(내국인 각세별/구별),,73813,76160,68257,66923,66960,62036,54899
합계,7세,남자,주민등록인구(내국인 각세별/구별),,37811,39091,35069,34238,34153,31725,27998
합계,7세,여자,주민등록인구(내국인 각세별/구별),,36002,37069,33188,32685,32807,30311,26901
합계,8세,합계,주민등록인구(내국인 각세별/구별),,74748,73259,75438,67174,66454,66691,61875
합계,8세,남자,주민등록인구(내국인 각세별/구별),,38362,37504,38711,34535,33961,33986,31617
합계,8세,여자,주민등록인구(내국인 각세별/구별),,36386,35755,36727,32639,32493,32705,30258
합계,9세,합계,주민등록인구(내국인 각세별/구별),,70652,74305,72676,74480,66820,66430,66668
합계,9세,남자,주민등록인구(내국인 각세별/구별),,36110,38131,37211,38207,34377,33964,34004
합계,9세,여자,주민등록인구(내국인 각세별/구별),,34542,36174,35465,36273,32443,32466,32664
합계,10세,합계,주민등록인구(내국인 각세별/구별),,75180,70378,73776,71911,74250,66672,66426
합계,10세,남자,주민등록인구(내국인 각세별/구별),,38708,35988,37839,36852,38110,34316,33962
합계,10세,여자,주민등록인구(내국인 각세별/구별),,36472,34390,35937,35059,36140,32356,32464
합계,11세,합계,주민등록인구(내국인 각세별/구별),,79733,74930,70062,72979,71693,74287,66625
합계,11세,남자,주민등록인구(내국인 각세별/구별),,40969,38555,35834,37418,36770,38096,34359
합계,11세,여자,주민등록인구(내국인 각세별/구별),,38764,36375,34228,35561,34923,36191,32266
합계,12세,합계,주민등록인구(내국인 각세별/구별),,74074,79942,74955,69798,73139,71911,74642
합계,12세,남자,주민등록인구(내국인 각세별/구별),,38286,41149,38587,35796,37636,36940,38317
합계,12세,여자,주민등록인구(내국인 각세별/구별),,35788,38793,36368,34002,35503,34971,36325
합계,13세,합계,주민등록인구(내국인 각세별/구별),,71698,73725,79461,74226,69481,72773,71709
합계,13세,남자,주민등록인구(내국인 각세별/구별),,37076,38075,40848,38194,35599,37456,36756
합계,13세,여자,주민등록인구(내국인 각세별/구별),,34622,35650,38613,36032,33882,35317,34953
합계,14세,합계,주민등록인구(내국인 각세별/구별),,79681,71582,73398,78965,73939,69371,72634
합계,14세,남자,주민등록인구(내국인 각세별/구별),,41074,36993,37905,40612,38047,35525,37395
합계,14세,여자,주민등록인구(내국인 각세별/구별),,38607,34589,35493,38353,35892,33846,35239
합계,15세,합계,주민등록인구(내국인 각세별/구별),,82773,79677,71470,73101,78832,73898,69493
합계,15세,남자,주민등록인구(내국인 각세별/구별),,42717,41112,36951,37724,40542,38010,35599
합계,15세,여자,주민등록인구(내국인 각세별/구별),,40056,38565,34519,35377,38290,35888,33894
합계,16세,합계,주민등록인구(내국인 각세별/구별),,83012,82287,79105,70668,72618,78204,73553
합계,16세,남자,주민등록인구(내국인 각세별/구별),,42823,42430,40748,36459,37410,40153,37740
합계,16세,여자,주민등록인구(내국인 각세별/구별),,40189,39857,38357,34209,35208,38051,35813
합계,17세,합계,주민등록인구(내국인 각세별/구별),,92791,82767,81820,78485,70496,72331,77999
합계,17세,남자,주민등록인구(내국인 각세별/구별),,47884,42658,42091,40369,36274,37197,39966
합계,17세,여자,주민등록인구(내국인 각세별/구별),,44907,40109,39729,38116,34222,35134,38033
합계,18세,합계,주민등록인구(내국인 각세별/구별),,108139,92621,82413,81354,78443,70353,72242
합계,18세,남자,주민등록인구(내국인 각세별/구별),,55913,47625,42294,41644,40172,36057,37043
합계,18세,여자,주민등록인구(내국인 각세별/구별),,52226,44996,40119,39710,38271,34296,35199
합계,19세,합계,주민등록인구(내국인 각세별/구별),,108040,111662,95406,84649,86227,83411,75444
합계,19세,남자,주민등록인구(내국인 각세별/구별),,54870,56754,48188,42623,43089,41596,37587
합계,19세,여자,주민등록인구(내국인 각세별/구별),,53170,54908,47218,42026,43138,41815,37857
합계,20세,합계,주민등록인구(내국인 각세별/구별),,114742,110727,114046,97483,88938,90143,87480
합계,20세,남자,주민등록인구(내국인 각세별/구별),,57433,54727,56375,47716,43008,43504,42067
합계,20세,여자,주민등록인구(내국인 각세별/구별),,57309,56000,57671,49767,45930,46639,45413
합계,21세,합계,주민등록인구(내국인 각세별/구별),,122499,117160,113005,116240,101673,91928,92749
합계,21세,남자,주민등록인구(내국인 각세별/구별),,59787,57065,54231,55882,48209,43178,43380
합계,21세,여자,주민등록인구(내국인 각세별/구별),,62712,60095,58774,60358,53464,48750,49369
합계,22세,합계,주민등록인구(내국인 각세별/구별),,129725,127846,122481,117703,123683,107831,97032
합계,22세,남자,주민등록인구(내국인 각세별/구별),,63551,61644,58672,55867,58894,50806,45523
합계,22세,여자,주민등록인구(내국인 각세별/구별),,66174,66202,63809,61836,64789,57025,51509
합계,23세,합계,주민등록인구(내국인 각세별/구별),,141389,137538,135873,129512,126585,131911,115026
합계,23세,남자,주민등록인구(내국인 각세별/구별),,69073,65825,63827,60736,58925,61631,53348
합계,23세,여자,주민등록인구(내국인 각세별/구별),,72316,71713,72046,68776,67660,70280,61678
합계,24세,합계,주민등록인구(내국인 각세별/구별),,150560,148693,144710,142139,137495,133245,138282
합계,24세,남자,주민등록인구(내국인 각세별/구별),,73914,71292,67907,65689,63617,61275,63675
합계,24세,여자,주민등록인구(내국인 각세별/구별),,76646,77401,76803,76450,73878,71970,74607
합계,25세,합계,주민등록인구(내국인 각세별/구별),,156527,158278,156132,151566,150334,144366,139207
합계,25세,남자,주민등록인구(내국인 각세별/구별),,77388,77215,74536,71052,69486,66911,64271
합계,25세,여자,주민등록인구(내국인 각세별/구별),,79139,81063,81596,80514,80848,77455,74936
