"구분별","항목","단위","2015. 01 월","2015. 02 월","2015. 03 월","2015. 04 월","2015. 05 월","2015. 06 월","2015. 07 월","2015. 08 월","2015. 09 월","2015. 10 월","2015. 11 월","2015. 12 월","2016. 01 월","2016. 02 월","2016. 03 월","2016. 04 월","2016. 05 월","2016. 06 월","2016. 07 월","2016. 08 월","2016. 09 월","2016. 10 월","2016. 11 월","2016. 12 월","2017. 01 월","2017. 02 월","2017. 03 월","2017. 04 월","2017. 05 월","2017. 06 월","2017. 07 월","2017. 08 월","2017. 09 월","2017. 10 월","2017. 11 월","2017. 12 월","2018. 01 월","2018. 02 월","2018. 03 월","2018. 04 월","2018. 05 월","2018. 06 월","2018. 07 월","2018. 08 월","2018. 09 월","2018. 10 월","2018. 11 월","2018. 12 월","2019. 01 월","2019. 02 월","2019. 03 월","2019. 04 월","2019. 05 월","2019. 06 월","2019. 07 월","2019. 08 월","2019. 09 월","2019. 10 월","2019. 11 월","2019. 12 월","2020. 01 월","2020. 02 월","2020. 03 월","2020. 04 월","2020. 05 월","2020. 06 월","2020. 07 월","2020. 08 월","2020. 09 월","2020. 10 월","2020. 11 월","2020. 12 월","2021. 01 월","2021. 02 월","2021. 03 월","2021. 04 월","2021. 05 월","2021. 06 월","2021. 07 월","2021. 08 월","2021. 09 월","2021. 10 월","2021. 11 월","2021. 12 월","2022. 01 월","2022. 02 월","2022. 03 월","2022. 04 월","2022. 05 월","2022. 06 월","2022. 07 월","2022. 08 월","2022. 09 월","2022. 10 월","2022. 11 월","2022. 12 월","2023. 01 월","2023. 02 월","2023. 03 월","2023. 04 월","2023. 05 월","2023. 06 월","2023. 07 월","2023. 08 월","2023. 09 월","2023. 10 월","2023. 11 월","2023. 12 월","2024. 01 월","2024. 02 월","2024. 03 월","2024. 04 월","2024. 05 월","2024. 06 월","2024. 07 월","2024. 08 월","2024. 09 월","2024. 10 월","2024. 11 월","2024. 12 월",
"평 균","아황산가스(SO2)","ppm","0.007","0.007","0.007","0.005","0.006","0.005","0.005","0.005","0.004","0.005","0.005","0.006","0.006","0.006","0.006","0.005","0.005","0.005","0.004","0.004","0.004","0.004","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.004","0.004","0.004","0.004","0.004","0.005","0.005","0.006","0.005","0.005","0.004","0.004","0.004","0.004","0.004","0.003","0.004","0.005","0.005","0.005","0.005","0.005","0.004","0.005","0.004","0.004","0.004","0.003","0.003","0.004","0.004","0.004","0.003","0.003","0.003","0.003","0.003","0.002","0.003","0.003","0.003","0.003","0.004","0.004","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.004","0.003","0.003","0.003","0.003","0.002","0.003","0.003","0.003","0.003","0.003","0.003","0.0031","0.0030","0.0032","0.0027","0.0029","0.0027","0.0027","0.0027","0.0026","0.0027","0.0027","0.0027","0.0029","0.0026","0.0026","0.0029","0.0027","0.0029","0.0023","0.0023","0.0023","0.0025","0.0028","0.0031",
"평 균","일산화탄소(CO)","ppm","0.7","0.7","0.6","0.5","0.4","0.4","0.4","0.4","0.4","0.5","0.6","0.7","0.6","0.6","0.6","0.5","0.5","0.4","0.4","0.4","0.5","0.5","0.6","0.7","0.7","0.6","0.6","0.5","0.4","0.4","0.4","0.4","0.5","0.5","0.6","0.7","0.6","0.6","0.6","0.5","0.4","0.4","0.4","0.4","0.4","0.5","0.7","0.6","0.8","0.7","0.6","0.5","0.5","0.4","0.4","0.4","0.4","0.5","0.6","0.7","0.7","0.6","0.5","0.4","0.4","0.4","0.4","0.3","0.4","0.5","0.6","0.6","0.6","0.6","0.5","0.4","0.4","0.4","0.3","0.4","0.4","0.4","0.6","0.6","0.6","0.5","0.5","0.4","0.4","0.3","0.3","0.3","0.4","0.4","0.5","0.5","0.60","0.55","0.52","0.41","0.38","0.39","0.36","0.35","0.38","0.44","0.46","0.57","0.58","0.51","0.41","0.43","0.35","0.35","0.32","0.33","0.32","0.39","0.45","0.49",
"평 균","이산화질소(NO2)","ppm","0.037","0.036","0.04","0.033","0.032","0.025","0.021","0.023","0.027","0.035","0.034","0.039","0.035","0.034","0.038","0.036","0.031","0.028","0.024","0.023","0.026","0.029","0.035","0.036","0.035","0.035","0.038","0.031","0.028","0.024","0.023","0.021","0.027","0.027","0.033","0.034","0.035","0.034","0.033","0.031","0.025","0.024","0.019","0.017","0.019","0.028","0.039","0.035","0.039","0.036","0.034","0.029","0.028","0.02","0.018","0.018","0.021","0.025","0.034","0.035","0.034","0.032","0.027","0.021","0.02","0.019","0.016","0.014","0.016","0.025","0.03","0.032","0.031","0.030","0.032","0.022","0.019","0.018","0.016","0.015","0.014","0.022","0.031","0.031","0.032","0.026","0.026","0.020","0.015","0.013","0.014","0.013","0.016","0.020","0.028","0.028","0.0296","0.0290","0.0270","0.0183","0.0168","0.0142","0.0135","0.0123","0.0137","0.0211","0.0216","0.0283","0.0278","0.0246","0.0212","0.0215","0.0156","0.0153","0.0110","0.0118","0.0118","0.0180","0.0233","0.0236",
"평 균","미세먼지(PM-10)","㎍/㎥","49","84","71","45","45","35","30","34","28","44","33","48","50","45","64","71","56","46","33","34","37","38","52","48","53","46","60","56","63","41","33","21","32","29","42","50","52","53","52","52","42","37","24","22","20","28","52","43","66","57","69","41","52","29","26","25","21","31","40","42","42","41","45","44","35","36","21","23","19","33","42","42","38","48","67","42","61","33","24","22","15","27","45","39","43","40","41","45","33","22","25","20","22","25","39","38","48","46","68","63","38","28","26","21","20","28","30","36","36","33","49","50","30","31","20","24","16","23","29","34",
"평 균","초미세먼지(PM-2.5)","㎍/㎥","25","30","30","21","22","20","19","22","16","24","21","28","27","23","32","30","29","28","21","22","23","20","28","30","32","28","39","26","24","22","22","13","19","15","22","32","32","30","34","26","23","24","16","14","10","15","28","24","38","35","45","21","29","20","19","16","12","15","20","28","29","28","25","21","19","21","13","14","11","17","24","27","21","29","32","19","20","19","15","13","7","13","26","23","29","26","21","22","17","12","16","11","11","14","22","19","26","30","31","21","18","17","17","13","11","15","17","21","24","23","21","22","15","18","12","16","9","13","17","19",
"평 균","오존(O3)","ppm","0.011","0.016","0.022","0.028","0.033","0.038","0.027","0.029","0.025","0.019","0.012","0.009","0.014","0.018","0.025","0.031","0.039","0.037","0.025","0.03","0.027","0.018","0.014","0.009","0.014","0.018","0.025","0.035","0.039","0.041","0.03","0.024","0.027","0.02","0.014","0.011","0.014","0.018","0.026","0.031","0.034","0.035","0.024","0.03","0.027","0.018","0.011","0.012","0.012","0.018","0.028","0.029","0.043","0.039","0.031","0.03","0.024","0.021","0.013","0.011","0.014","0.018","0.027","0.036","0.034","0.044","0.031","0.019","0.028","0.022","0.015","0.014","0.015","0.022","0.025","0.037","0.036","0.041","0.038","0.034","0.031","0.022","0.018","0.014","0.016","0.026","0.028","0.043","0.049","0.036","0.037","0.030","0.031","0.023","0.018","0.015","0.0158","0.0220","0.0334","0.0381","0.0419","0.0483","0.0371","0.0346","0.0326","0.0264","0.0228","0.0176","0.0187","0.0247","0.0347","0.0425","0.0443","0.0548","0.0362","0.0427","0.0350","0.0253","0.0213","0.0190",
"종로구","아황산가스(SO2)","ppm","0.006","0.007","0.008","0.007","0.007","0.007","0.007","0.007","0.006","0.006","0.003","0.006","0.005","0.005","0.005","0.005","0.005","0.005","0.004","0.004","0.004","0.002","0.004","0.004","0.004","0.004","0.005","0.004","0.005","0.004","0.004","0.003","0.004","0.003","0.005","0.006","0.007","0.007","0.006","0.006","0.005","0.004","－","0.003","0.003","0.003","0.004","0.004","0.005","0.004","0.004","0.004","0.005","0.003","0.003","0.003","0.003","0.003","0.004","0.004","0.004","0.004","0.004","0.003","0.003","0.004","0.003","0.003","0.003","0.004","0.004","0.004","0.003","0.004","0.003","0.004","0.003","0.004","0.004","0.003","0.003","0.003","0.003","0.003","0.004","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.0033","0.0030","0.0032","*0.0029","0.0031","0.0029","0.0032","0.0030","0.0030","0.0032","0.0031","0.0030","0.0030","0.0026","0.0027","0.0030","0.0030","0.0035","0.0027","0.0028","0.0028","0.0030","0.0032","0.0032",
"종로구","일산화탄소(CO)","ppm","0.4","0.4","0.4","0.3","0.3","0.4","0.3","0.4","0.5","0.5","0.6","0.6","0.4","0.4","0.4","0.4","0.3","0.3","0.3","0.3","0.3","0.4","0.6","0.7","0.7","0.6","0.7","0.6","0.5","0.5","0.5","0.4","0.5","0.5","0.6","0.8","0.7","0.7","0.6","0.6","0.5","0.5","0.4","0.4","0.4","0.6","0.8","0.7","0.8","0.8","0.7","0.5","0.5","0.4","0.4","0.5","0.5","0.5","0.7","0.7","0.7","0.6","0.5","0.4","0.4","0.5","0.4","0.3","0.4","0.5","0.6","0.7","0.7","0.6","0.6","0.4","0.4","0.4","0.3","0.4","0.4","0.5","0.6","0.6","0.7","0.6","0.5","0.5","0.4","0.4","0.4","0.4","0.4","0.4","0.6","0.6","0.63","0.58","0.55","0.46","0.42","0.41","0.41","0.38","0.39","0.49","0.51","0.61","0.62","0.54","0.41","0.42","0.34","0.35","0.29","0.33","0.31","0.40","0.45","0.50",
"종로구","이산화질소(NO2)","ppm","0.037","0.038","0.041","0.035","0.035","0.027","0.023","0.023","0.027","0.034","0.033","0.038","0.033","0.031","0.034","0.034","0.029","0.027","0.023","0.021","0.023","0.024","0.038","0.041","0.038","0.038","0.041","0.036","0.033","0.028","0.029","0.024","0.03","0.03","0.037","0.039","0.037","0.035","0.037","0.034","0.029","0.029","0.022","0.021","0.023","0.033","0.043","0.037","0.042","0.037","0.037","0.031","0.033","0.022","0.02","0.02","0.023","0.026","0.034","0.035","0.034","0.032","0.028","0.021","0.02","0.02","0.017","0.017","0.017","0.025","0.032","0.031","0.031","0.030","0.030","0.020","0.019","0.018","0.016","0.015","0.015","0.023","0.032","0.031","0.032","0.025","0.026","0.020","0.015","0.013","0.014","0.015","0.016","0.021","0.030","0.029","0.0307","0.0208","0.0271","0.0183","0.0165","0.0140","0.0146","0.0131","0.0137","0.0220","0.0212","0.0272","0.0296","0.0341","0.0207","0.0200","0.0146","0.0148","0.0118","0.0120","0.0123","0.0194","0.0240","0.0232",
"종로구","미세먼지(PM-10)","㎍/㎥","54","98","79","48","52","41","35","36","28","45","33","49","50","46","63","67","53","44","30","31","32","37","50","48","50","42","55","50","55","35","31","20","28","27","41","45","45","46","46","44","36","31","23","20","18","25","49","41","60","51","61","35","44","24","25","24","20","27","37","42","43","42","43","42","34","36","22","23","21","36","44","44","42","50","69","43","63","32","22","21","13","26","46","39","43","39","40","43","32","20","23","20","21","23","38","38","47","45","67","61","37","26","25","20","19","27","30","37","37","33","47","48","30","29","20","23","16","22","29","34",
