"자치구별(1)",자치구별(2),2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024
"자치구별(1)",자치구별(2),행정구역면적,공원면적,공원면적,도시계획시설(공원) 및 기타공원,도시계획시설(공원) 및 기타공원,행정구역면적,공원면적,공원면적,도시계획시설(공원) 및 기타공원,도시계획시설(공원) 및 기타공원,행정구역면적,공원면적,공원면적,도시계획시설(공원) 및 기타공원,도시계획시설(공원) 및 기타공원,행정구역면적,공원면적,공원면적,도시계획시설(공원) 및 기타공원,도시계획시설(공원) 및 기타공원,행정구역면적,공원면적,공원면적,도시계획시설(공원) 및 기타공원,도시계획시설(공원) 및 기타공원,행정구역면적,공원면적,공원면적,자연공원(국립)면적,도시자연공원구역면적,도시계획시설(공원) 및 기타공원,도시계획시설(공원) 및 기타공원,행정구역면적,공원면적,공원면적,자연공원(국립)면적,도시자연공원구역면적,도시계획시설(공원) 및 기타공원,도시계획시설(공원) 및 기타공원,행정구역면적,공원면적,공원면적,자연공원(국립)면적,도시자연공원구역면적,도시계획시설(공원) 및 기타공원,도시계획시설(공원) 및 기타공원,행정구역면적,공원면적,공원면적,자연공원(국립)면적,도시자연공원구역면적,도시계획시설(공원) 및 기타공원,도시계획시설(공원) 및 기타공원,행정구역면적,공원면적,공원면적,자연공원(국립)면적,도시자연공원구역면적,도시계획시설(공원) 및 기타공원,도시계획시설(공원) 및 기타공원
"자치구별(1)",자치구별(2),소계,소계,공원율 (%),조성면적,미조성면적,소계,소계,공원율 (%),조성면적,미조성면적,소계,소계,공원율 (%),조성면적,미조성면적,소계,소계,공원율 (%),조성면적,미조성면적,소계,소계,공원율 (%),조성면적,미조성면적,소계,소계,공원율 (%),소계,소계,조성면적,미조성면적,소계,소계,공원율 (%),소계,소계,조성면적,미조성면적,소계,소계,공원율 (%),소계,소계,조성면적,미조성면적,소계,소계,공원율 (%),소계,소계,조성면적,미조성면적,소계,소계,공원율 (%),소계,소계,조성면적,미조성면적
"합계",소계,605250742,167938877,27.75,146216486,21722391,605196264,168203877,27.79,146578663,21625215,605242807,168374591,27.82,146914704,21459887,605238966,168843299,27.90,148135891,20707408,605237002,168896780,27.91,148403999,20492781,605228541,172317390,28.47,37345000,69222532,62884220,2865638,605243961,172675053,28.53,37345000,69222532,63440000,2667520,605208149,173024061,28.59,37517000,69221413,63708693,2576954,605204030,173075968,28.60,37517000,69221413,64006959,2330596,605214148,173146322,28.61,37517000,69221413,64041987,2365921
"합계",종로구,23912895,11575356,48.41,11485707,89648,23912883,11567389,48.37,11485707,81681,23912788,11569693,48.38,11489270,80423,23913318,11555792,48.32,11486917,68875,23913280,11556112,48.33,11489786,66327,23913168,11402581,47.68,4998000,3315969,3024279,64333,23912936,11404091,47.69,4998000,3315969,3026454,63668,23913162,11434590,47.82,5030000,3315969,3021205,67416,23913223,11434590,47.82,5030000,3315969,3021205,67416,23913229,11448256,47.87,5030000,3315969,3032505,69782
"합계",중구,9960549,3132474,31.45,3096392,36082,9960930,3131968,31.44,3095960,36008,9959792,3131968,31.45,3095960,36008,9959837,3131968,31.45,3100980,30988,9959983,3155139,31.68,3124646,30494,9960305,3163827,31.76,-,1790965,1344781,28081,9960262,3178194,31.91,-,1790965,1359549,27680,9960287,3206189,32.19,-,1789846,1389982,26362,9959947,3204708,32.18,-,1789846,1390704,24159,9960057,3224529,32.37,-,1789846,1391915,42768
"합계",용산구,21866635,1796915,8.22,1654320,142595,21866544,1794117,8.20,1654220,139898,21866466,1794141,8.20,1659648,134492,21866257,1795641,8.21,1661148,134492,21866384,1779562,8.14,1664655,114907,21866144,1777061,8.13,-,54875,1612723,109462,21866145,1775550,8.12,-,54875,1612663,108011,21867610,1773967,8.11,-,54875,1611081,108011,21867577,1773795,8.11,-,54875,1611789,107131,21868176,1791844,8.19,-,54875,1612455,124514
"합계",성동구,16860497,3067331,18.19,2938764,128567,16860100,3094975,18.36,2974764,120210,16856985,3101355,18.40,2982711,118644,16859546,3102064,18.40,2989204,112861,16859343,3100047,18.39,2994794,105253,16861004,3073982,18.23,-,72648,2896082,105253,16859899,3074323,18.23,-,72648,2896422,105253,16820272,3083766,18.33,-,72648,2905866,105253,16820149,3085708,18.35,-,72648,2908016,105045,16820440,3085709,18.34,-,72648,2908016,105045
"합계",광진구,17063352,3396156,19.90,3356387,39769,17063230,3359232,19.69,3356907,2325,17063242,3359232,19.69,3356907,2325,17063238,3363048,19.71,3360413,2635,17062949,3363481,19.71,3360846,2635,17062939,3451040,20.23,-,2097470,1350935,2635,17062995,3459842,20.28,-,2097470,1351388,10984,17062837,3459842,20.28,-,2097470,1351388,10984,17062820,3459842,20.28,-,2097470,1351388,10984,17062815,3459848,20.28,-,2097470,1351394,10984
"합계",동대문구,14213441,1281104,9.01,1192480,88624,14215197,1277249,8.99,1192480,84769,14215008,1275574,8.97,1192480,83094,14215222,1275850,8.98,1197132,78718,14215360,1275134,8.97,1199585,75549,14215624,1219249,8.58,-,96500,1048743,74007,14215806,1216012,8.55,-,96500,1047805,71708,14216011,1215385,8.55,-,96500,1051653,67233,14215912,1215385,8.55,-,96500,1053660,65226,14215806,1215779,8.55,-,96500,1057645,61634
